pair_id,job_group_id,cv_text,job_text,cv_sha256,job_sha256,human_relevance_score,human_rationale,review_status,annotator,notes
pair_001,job_01,"Mid-level candidate with 1 years experience. Technical skills: Python, SQL. Tools: Excel. Soft skills: Communication. Education: Bachelor. Prefers hybrid work.","Data Analyst. Mid-level role. Requires 2 years experience. Required technical skills: Python, SQL, Data Analysis. Required tools: Excel, Tableau. Required soft skills: Communication. Minimum Bachelor degree. This is a hybrid position.",c7dd8185c64fd2d4a564b175596ce0e334cd8780bfe71c6bb1875996b4ac20b8,3d48ee6fa5a2a00d885574a1b9c051a75d6ca253a806eeb638c8b3e958d1ef64,,,needs_review,,
pair_002,job_01,Junior candidate with 1 years experience. Technical skills: Python. Tools: Excel. Soft skills: none stated. Education: Diploma. Prefers hybrid work.,"Data Analyst. Mid-level role. Requires 2 years experience. Required technical skills: Python, SQL, Data Analysis. Required tools: Excel, Tableau. Required soft skills: Communication. Minimum Bachelor degree. This is a hybrid position.",298cd8c6b6fb064bf9fbec859be7015ba437a6f36f71c1a4d2ceb5085d689114,3d48ee6fa5a2a00d885574a1b9c051a75d6ca253a806eeb638c8b3e958d1ef64,,,needs_review,,
pair_003,job_01,"Junior candidate with 1 years experience. Technical skills: Data Analysis, Statistics. Tools: Excel. Soft skills: Communication. Education: Bachelor. Prefers onsite work.","Data Analyst. Mid-level role. Requires 2 years experience. Required technical skills: Python, SQL, Data Analysis. Required tools: Excel, Tableau. Required soft skills: Communication. Minimum Bachelor degree. This is a hybrid position.",c32907572a8b5a76f183f610e819295f3a6ccb74cc48dcaad880480864f3a9d8,3d48ee6fa5a2a00d885574a1b9c051a75d6ca253a806eeb638c8b3e958d1ef64,,,needs_review,,
pair_004,job_01,"Junior candidate with 1 years experience. Technical skills: JavaScript, Go. Tools: Git. Soft skills: Teamwork. Education: High School. Prefers onsite work.","Data Analyst. Mid-level role. Requires 2 years experience. Required technical skills: Python, SQL, Data Analysis. Required tools: Excel, Tableau. Required soft skills: Communication. Minimum Bachelor degree. This is a hybrid position.",f85a7a8b5229e047dff1448248aac43a3ae0b292e6f72fd26600cd47083e14d3,3d48ee6fa5a2a00d885574a1b9c051a75d6ca253a806eeb638c8b3e958d1ef64,,,needs_review,,
pair_005,job_01,"Mid-level candidate with 2 years experience. Technical skills: Python, SQL, Data Analysis. Tools: Excel, Tableau. Soft skills: Communication. Education: Bachelor. Prefers hybrid work.","Data Analyst. Mid-level role. Requires 2 years experience. Required technical skills: Python, SQL, Data Analysis. Required tools: Excel, Tableau. Required soft skills: Communication. Minimum Bachelor degree. This is a hybrid position.",095a7607cdad579c1b72bdc50efe905b99cbcb27bdde238b41abefa636b4f78c,3d48ee6fa5a2a00d885574a1b9c051a75d6ca253a806eeb638c8b3e958d1ef64,,,needs_review,,
pair_006,job_02,Junior candidate with 1 years experience. Technical skills: SQL. Tools: Power BI. Soft skills: none stated. Education: Diploma. Prefers onsite work.,"BI Analyst. Mid-level role. Requires 3 years experience. Required technical skills: SQL, Data Visualization. Required tools: Power BI, SQL Server. Required soft skills: Presentation. Minimum Bachelor degree. This is a onsite position.",ccfe87b5979073a798a3fecdedb002c325b1311945d49f6581249bc23c54d08d,03f8ec764babb227be5edd27fa1d4d8614d4fb27dc3e145f24b38eab46c039e2,,,needs_review,,
pair_007,job_02,"Junior candidate with 1 years experience. Technical skills: Data Analysis, Statistics. Tools: Excel. Soft skills: Communication. Education: Bachelor. Prefers onsite work.","BI Analyst. Mid-level role. Requires 3 years experience. Required technical skills: SQL, Data Visualization. Required tools: Power BI, SQL Server. Required soft skills: Presentation. Minimum Bachelor degree. This is a onsite position.",c32907572a8b5a76f183f610e819295f3a6ccb74cc48dcaad880480864f3a9d8,03f8ec764babb227be5edd27fa1d4d8614d4fb27dc3e145f24b38eab46c039e2,,,needs_review,,
pair_008,job_02,"Junior candidate with 1 years experience. Technical skills: JavaScript, Go. Tools: Git. Soft skills: Teamwork. Education: High School. Prefers onsite work.","BI Analyst. Mid-level role. Requires 3 years experience. Required technical skills: SQL, Data Visualization. Required tools: Power BI, SQL Server. Required soft skills: Presentation. Minimum Bachelor degree. This is a onsite position.",f85a7a8b5229e047dff1448248aac43a3ae0b292e6f72fd26600cd47083e14d3,03f8ec764babb227be5edd27fa1d4d8614d4fb27dc3e145f24b38eab46c039e2,,,needs_review,,
pair_009,job_02,"Mid-level candidate with 3 years experience. Technical skills: SQL, Data Visualization. Tools: Power BI, SQL Server. Soft skills: Presentation. Education: Bachelor. Prefers onsite work.","BI Analyst. Mid-level role. Requires 3 years experience. Required technical skills: SQL, Data Visualization. Required tools: Power BI, SQL Server. Required soft skills: Presentation. Minimum Bachelor degree. This is a onsite position.",6542ac82eb97e3267448eede86962f239536a403a2aa08a9bae40466eb7fdadf,03f8ec764babb227be5edd27fa1d4d8614d4fb27dc3e145f24b38eab46c039e2,,,needs_review,,
pair_010,job_02,Mid-level candidate with 2 years experience. Technical skills: SQL. Tools: Power BI. Soft skills: Presentation. Education: Bachelor. Prefers onsite work.,"BI Analyst. Mid-level role. Requires 3 years experience. Required technical skills: SQL, Data Visualization. Required tools: Power BI, SQL Server. Required soft skills: Presentation. Minimum Bachelor degree. This is a onsite position.",f9e192b8f0367f4649eb87a4494f93b5d880540104ab32fe7ce746f76eba0379,03f8ec764babb227be5edd27fa1d4d8614d4fb27dc3e145f24b38eab46c039e2,,,needs_review,,
